试验ID：1
试验名称：金属材料室温拉伸试验
批号: /	
编号: /	
材质: /	
规格: /	
试验日期: 2021/10/20	
形状: 圆材	
标距倍率: 0	
尺寸1: 0.0	
尺寸2: 0.0	
尺寸3: 0.0	
试样尺寸: 0	
面积: 0.0	
原始标距: 50.0	
引伸计标距: 50.0	
平行长度: 50.0	
试验温度: 20.0	
试验人: /	
断后标距: 0	
断后面积: 0	
上屈服力: 3.064	
上屈服强度: 31	
下屈服力: 2.528	
下屈服强度: 25	
规定非比例延伸力: 0	
规定非比例延伸强度: 0	
规定非比例延伸力1: 0	
规定非比例延伸强度1: 0	
规定总延伸力: 0	
规定总延伸强度: 0	
最大力: 6.440	
抗拉强度: 64	
最大力非比例伸长率: 0	
最大力总伸长率: 0	
断后伸长率: 0	
断裂总伸长率: 0	
断面收缩率: 0	
屈服点延伸率: 0	
弹性模量: 657.76	
屈强比: 0.39	
强屈比: 2.56	
屈屈比: 0.125	
自定义1: 0	
自定义2: 0	
自定义3: 0	
自定义4: 0	

=========================曲线数据==========================
数据量：13547
试验力			变形1			变形2			变形3			位移			位移1			位移2			位移3			位移4			应力			应变			时间
0.0660		-0.0015		-0.0004		-0.0008		0.0218		-0.0100		-0.0100		-0.0000		-0.0000		0.6600		-0.0030		0.6600
0.0660		-0.0015		-0.0004		-0.0008		0.0218		-0.0100		-0.0100		-0.0000		-0.0000		0.6600		-0.0030		0.6800
0.0720		-0.0015		-0.0004		-0.0008		0.0230		-0.0100		-0.0100		-0.0000		-0.0000		0.7200		-0.0030		0.7000
0.0720		-0.0015		-0.0004		-0.0008		0.0230		-0.0100		-0.0100		-0.0000		-0.0000		0.7200		-0.0030		0.7200
0.0780		-0.0016		-0.0004		-0.0008		0.0242		-0.0100		-0.0100		-0.0000		-0.0000		0.7800		-0.0032		0.7400
0.0780		-0.0016		-0.0004		-0.0008		0.0255		-0.0100		-0.0100		-0.0000		-0.0000		0.7800		-0.0032		0.7600
0.0840		-0.0018		-0.0004		-0.0008		0.0255		-0.0100		-0.0100		-0.0000		-0.0000		0.8400		-0.0036		0.7800
0.0840		-0.0018		-0.0004		-0.0008		0.0267		-0.0100		-0.0100		-0.0000		-0.0000		0.8400		-0.0036		0.8000
0.0900		-0.0018		-0.0004		-0.0008		0.0267		-0.0100		-0.0100		-0.0000		-0.0000		0.9000		-0.0036		0.8200
0.0900		-0.0018		-0.0004		-0.0008		0.0279		-0.0100		-0.0100		-0.0000		-0.0000		0.9000		-0.0036		0.8400
0.0960		-0.0016		-0.0004		-0.0004		0.0279		-0.0100		-0.0201		-0.0000		-0.0000		0.9600		-0.0032		0.8600
0.0960		-0.0016		-0.0004		-0.0004		0.0291		-0.0100		-0.0201		-0.0000		-0.0000		0.9600		-0.0032		0.8800
0.1020		-0.0016		-0.0004		-0.0004		0.0303		-0.0100		-0.0201		-0.0000		-0.0000		1.0200		-0.0032		0.9000
0.1020		-0.0016		-0.0004		-0.0004		0.0303		-0.0100		-0.0201		-0.0000		-0.0000		1.0200		-0.0032		0.9200
0.1080		-0.0016		-0.0004		-0.0004		0.0303		-0.0100		-0.0201		-0.0000		-0.0000		1.0800		-0.0032		0.9400
0.1080		-0.0016		-0.0004		-0.0004		0.0315		-0.0100		-0.0201		-0.0000		-0.0000		1.0800		-0.0032		0.9600
0.1140		-0.0016		-0.0004		-0.0004		0.0327		-0.0100		-0.0201		-0.0000		-0.0000		1.1400		-0.0032		0.9800
0.1140		-0.0016		-0.0004		-0.0004		0.0327		-0.0100		-0.0201		-0.0000		-0.0000		1.1400		-0.0032		1.0000
0.1190		-0.0016		-0.0004		-0.0004		0.0339		-0.0100		-0.0201		-0.0000		-0.0000		1.1900		-0.0032		1.0200
0.1190		-0.0016		-0.0004		-0.0004		0.0339		-0.0100		-0.0201		-0.0000		-0.0000		1.1900		-0.0032		1.0400
0.1250		-0.0016		-0.0004		-0.0004		0.0351		-0.0100		-0.0201		-0.0000		-0.0000		1.2500		-0.0032		1.0600
0.1250		-0.0016		-0.0004		-0.0004		0.0351		-0.0100		-0.0201		-0.0000		-0.0000		1.2500		-0.0032		1.0800
0.1320		-0.0016		-0.0004		-0.0004		0.0364		-0.0100		-0.0201		-0.0000		-0.0000		1.3200		-0.0032		1.1000
0.1320		-0.0016		-0.0004		-0.0004		0.0364		-0.0100		-0.0201		-0.0000		-0.0000		1.3200		-0.0032		1.1200
0.1370		-0.0013		-0.0004		-0.0004		0.0376		-0.0100		-0.0201		-0.0000		-0.0000		1.3700		-0.0026		1.1400
0.1370		-0.0013		-0.0004		-0.0004		0.0388		-0.0100		-0.0201		-0.0000		-0.0000		1.3700		-0.0026		1.1600
0.1430		-0.0013		-0.0004		-0.0004		0.0388		-0.0100		-0.0201		-0.0000		-0.0000		1.4300		-0.0026		1.1800
0.1430		-0.0013		-0.0004		-0.0004		0.0400		-0.0100		-0.0201		-0.0000		-0.0000		1.4300		-0.0026		1.2000
0.1490		-0.0013		-0.0004		-0.0004		0.0400		-0.0100		-0.0201		-0.0000		-0.0000		1.4900		-0.0026		1.2200
0.1490		-0.0013		-0.0004		-0.0004		0.0412		-0.0100		-0.0201		-0.0000		-0.0000		1.4900		-0.0026		1.2400
0.1560		-0.0015		-0.0004		-0.0004		0.0412		-0.0100		-0.0201		-0.0000		-0.0000		1.5600		-0.0030		1.2600
0.1560		-0.0015		-0.0004		-0.0004		0.0424		-0.0100		-0.0301		-0.0000		-0.0000		1.5600		-0.0030		1.2800
0.1620		-0.0015		-0.0004		-0.0004		0.0436		-0.0100		-0.0301		-0.0000		-0.0000		1.6200		-0.0030		1.3000
0.1620		-0.0015		-0.0004		-0.0004		0.0436		-0.0100		-0.0301		-0.0000		-0.0000		1.6200		-0.0030		1.3200
0.1680		-0.0015		-0.0004		-0.0002		0.0448		-0.0100		-0.0301		-0.0000		-0.0000		1.6800		-0.0030		1.3400
0.1680		-0.0015		-0.0004		-0.0002		0.0448		-0.0100		-0.0301		-0.0000		-0.0000		1.6800		-0.0030		1.3600
0.1750		-0.0013		-0.0004		-0.0002		0.0461		-0.0100		-0.0301		-0.0000		-0.0000		1.7500		-0.0026		1.3800
0.1750		-0.0013		-0.0004		-0.0002		0.0461		-0.0100		-0.0301		-0.0000		-0.0000		1.7500		-0.0026		1.4000
0.1810		-0.0011		-0.0004		-0.0002		0.0473		-0.0100		-0.0301		-0.0000		-0.0000		1.8100		-0.0022		1.4200
0.1810		-0.0011		-0.0004		-0.0002		0.0473		-0.0100		-0.0301		-0.0000		-0.0000		1.8100		-0.0022		1.4400
0.1870		-0.0008		-0.0004		-0.0004		0.0485		-0.0100		-0.0301		-0.0000		-0.0000		1.8700		-0.0016		1.4600
0.1870		-0.0008		-0.0004		-0.0004		0.0485		-0.0100		-0.0301		-0.0000		-0.0000		1.8700		-0.0016		1.4800
0.1940		-0.0006		-0.0002		-0.0004		0.0497		-0.0100		-0.0301		-0.0000		-0.0000		1.9400		-0.0012		1.5000
0.1940		-0.0006		-0.0002		-0.0004		0.0497		-0.0100		-0.0301		-0.0000		-0.0000		1.9400		-0.0012		1.5200
0.2010		-0.0008		-0.0002		-0.0004		0.0509		-0.0100		-0.0301		-0.0000		-0.0000		2.0100		-0.0016		1.5400
0.2010		-0.0008		-0.0002		-0.0004		0.0521		-0.0100		-0.0301		-0.0000		-0.0000		2.0100		-0.0016		1.5600
0.2080		-0.0009		-0.0002		-0.0004		0.0521		-0.0100		-0.0301		-0.0000		-0.0000		2.0800		-0.0018		1.5800
0.2080		-0.0009		-0.0002		-0.0004		0.0533		-0.0100		-0.0301		-0.0000		-0.0000		2.0800		-0.0018		1.6000
0.2140		-0.0011		-0.0002		-0.0004		0.0533		-0.0100		-0.0301		-0.0000		-0.0000		2.1400		-0.0022		1.6200
0.2140		-0.0011		-0.0002		-0.0004		0.0545		-0.0100		-0.0301		-0.0000		-0.0000		2.1400		-0.0022		1.6400
0.2210		-0.0009		-0.0002		-0.0004		0.0545		-0.0100		-0.0301		-0.0000		-0.0000		2.2100		-0.0018		1.6600
0.2210		-0.0009		-0.0002		-0.0004		0.0558		-0.0100		-0.0301		-0.0000		-0.0000		2.2100		-0.0018		1.6800
0.2280		-0.0009		-0.0002		-0.0004		0.0570		-0.0100		-0.0301		-0.0000		-0.0000		2.2800		-0.0018		1.7000
0.2280		-0.0009		-0.0002		-0.0004		0.0570		-0.0100		-0.0301		-0.0000		-0.0000		2.2800		-0.0018		1.7200
0.2340		-0.0009		-0.0002		-0.0004		0.0582		-0.0100		-0.0301		-0.0000		-0.0000		2.3400		-0.0018		1.7400
0.2340		-0.0009		-0.0002		-0.0004		0.0582		-0.0100		-0.0401		-0.0000		-0.0000		2.3400		-0.0018		1.7600
0.2400		-0.0009		-0.0002		-0.0004		0.0594		-0.0100		-0.0401		-0.0000		-0.0000		2.4000		-0.0018		1.7800
0.2400		-0.0009		-0.0002		-0.0004		0.0594		-0.0100		-0.0401		-0.0000		-0.0000		2.4000		-0.0018		1.8000
0.2470		-0.0009		-0.0002		-0.0004		0.0606		-0.0100		-0.0401		-0.0000		-0.0000		2.4700		-0.0018		1.8200
0.2470		-0.0009		-0.0002		-0.0004		0.0606		-0.0200		-0.0401		-0.0000		-0.0000		2.4700		-0.0018		1.8400
0.2540		-0.0009		-0.0002		-0.0004		0.0618		-0.0200		-0.0401		-0.0000		-0.0000		2.5400		-0.0018		1.8600
0.2540		-0.0009		-0.0002		-0.0004		0.0618		-0.0200		-0.0401		-0.0000		-0.0000		2.5400		-0.0018		1.8800
0.2610		-0.0006		-0.0002		-0.0004		0.0630		-0.0200		-0.0401		-0.0000		-0.0000		2.6100		-0.0012		1.9000
0.2610		-0.0006		-0.0002		-0.0004		0.0630		-0.0200		-0.0401		-0.0000		-0.0000		2.6100		-0.0012		1.9200
0.2670		-0.0006		-0.0002		-0.0004		0.0642		-0.0200		-0.0401		-0.0000		-0.0000		2.6700		-0.0012		1.9400
0.2670		-0.0006		-0.0002		-0.0004		0.0642		-0.0200		-0.0401		-0.0000		-0.0000		2.6700		-0.0012		1.9600
0.2730		-0.0008		-0.0002		-0.0004		0.0654		-0.0200		-0.0401		-0.0000		-0.0000		2.7300		-0.0016		1.9800
0.2730		-0.0008		-0.0002		-0.0004		0.0667		-0.0200		-0.0401		-0.0000		-0.0000		2.7300		-0.0016		2.0000
0.2800		-0.0009		-0.0002		-0.0002		0.0667		-0.0200		-0.0401		-0.0000		-0.0000		2.8000		-0.0018		2.0200
0.2800		-0.0009		-0.0002		-0.0002		0.0679		-0.0200		-0.0401		-0.0000		-0.0000		2.8000		-0.0018		2.0400
0.2870		-0.0009		-0.0002		-0.0002		0.0679		-0.0200		-0.0401		-0.0000		-0.0000		2.8700		-0.0018		2.0600
0.2870		-0.0009		-0.0002		-0.0002		0.0691		-0.0200		-0.0401		-0.0000		-0.0000		2.8700		-0.0018		2.0800
0.2940		-0.0009		-0.0002		-0.0002		0.0691		-0.0200		-0.0401		-0.0000		-0.0000		2.9400		-0.0018		2.1000
0.2940		-0.0009		-0.0002		-0.0002		0.0703		-0.0200		-0.0401		-0.0000		-0.0000		2.9400		-0.0018		2.1200
0.3020		-0.0008		-0.0002		-0.0004		0.0715		-0.0200		-0.0401		-0.0000		-0.0000		3.0200		-0.0016		2.1400
0.3020		-0.0008		-0.0002		-0.0004		0.0715		-0.0200		-0.0401		-0.0000		-0.0000		3.0200		-0.0016		2.1600
0.3090		-0.0006		-0.0002		-0.0004		0.0727		-0.0200		-0.0502		-0.0000		-0.0000		3.0900		-0.0012		2.1800
0.3090		-0.0006		-0.0002		-0.0004		0.0727		-0.0200		-0.0502		-0.0000		-0.0000		3.0900		-0.0012		2.2000
0.3160		-0.0006		-0.0002		-0.0004		0.0739		-0.0200		-0.0502		-0.0000		-0.0000		3.1600		-0.0012		2.2200
0.3160		-0.0006		-0.0002		-0.0004		0.0739		-0.0200		-0.0502		-0.0000		-0.0000		3.1600		-0.0012		2.2400
0.3230		-0.0005		-0.0002		-0.0008		0.0751		-0.0200		-0.0502		-0.0000		-0.0000		3.2300		-0.0010		2.2600
0.3230		-0.0005		-0.0002		-0.0008		0.0751		-0.0200		-0.0502		-0.0000		-0.0000		3.2300		-0.0010		2.2800
0.3300		-0.0006		0.0000		-0.0008		0.0764		-0.0200		-0.0502		-0.0000		-0.0000		3.3000		-0.0012		2.3000
0.3300		-0.0006		0.0000		-0.0008		0.0764		-0.0200		-0.0502		-0.0000		-0.0000		3.3000		-0.0012		2.3200
0.3370		-0.0009		0.0000		-0.0008		0.0776		-0.0200		-0.0502		-0.0000		-0.0000		3.3700		-0.0018		2.3400
