试验ID：1
试验名称：金属材料室温拉伸试验
批号: /	
编号: /	
材质: /	
规格: /	
试验日期: 2021/10/20	
形状: 圆材	
标距倍率: 0	
尺寸1: 0.0	
尺寸2: 0.0	
尺寸3: 0.0	
试样尺寸: 0	
面积: 0.0	
原始标距: 50.0	
引伸计标距: 50.0	
平行长度: 50.0	
试验温度: 20.0	
试验人: /	
断后标距: 0	
断后面积: 0	
上屈服力: 3.064	
上屈服强度: 31	
下屈服力: 2.528	
下屈服强度: 25	
规定非比例延伸力: 0	
规定非比例延伸强度: 0	
规定非比例延伸力1: 0	
规定非比例延伸强度1: 0	
规定总延伸力: 0	
规定总延伸强度: 0	
最大力: 6.440	
抗拉强度: 64	
最大力非比例伸长率: 0	
最大力总伸长率: 0	
断后伸长率: 0	
断裂总伸长率: 0	
断面收缩率: 0	
屈服点延伸率: 0	
弹性模量: 657.76	
屈强比: 0.39	
强屈比: 2.56	
屈屈比: 0.125	
自定义1: 0	
自定义2: 0	
自定义3: 0	
自定义4: 0	

=========================曲线数据==========================
数据量：13547
试验力			变形1			变形2			变形3			位移			位移1			位移2			位移3			位移4			应力			应变			时间
4.3980		0.0001		-0.0002		0.0000		1.2120		-0.8619		-1.1541		-0.0000		-0.0000		43.9800		0.0002		36.4406
4.4150		0.0001		0.0000		-0.0002		1.2120		-0.8619		-1.1541		-0.0000		-0.0000		44.1500		0.0002		36.4606
4.4150		0.0001		0.0000		-0.0002		1.2132		-0.8619		-1.1541		-0.0000		-0.0000		44.1500		0.0002		36.4806
4.4320		0.0002		0.0000		-0.0002		1.2132		-0.8619		-1.1541		-0.0000		-0.0000		44.3200		0.0004		36.5006
4.4320		0.0002		0.0000		-0.0002		1.2144		-0.8619		-1.1541		-0.0000		-0.0000		44.3200		0.0004		36.5206
4.4490		0.0002		0.0000		0.0000		1.2156		-0.8619		-1.1541		-0.0000		-0.0000		44.4900		0.0004		36.5406
4.4490		0.0002		0.0000		0.0000		1.2156		-0.8619		-1.1541		-0.0000		-0.0000		44.4900		0.0004		36.5606
4.4640		0.0001		0.0000		0.0000		1.2168		-0.8619		-1.1541		-0.0000		-0.0000		44.6400		0.0002		36.5806
4.4640		0.0001		0.0000		0.0000		1.2168		-0.8719		-1.1541		-0.0000		-0.0000		44.6400		0.0002		36.6006
4.4800		-0.0002		-0.0002		0.0000		1.2181		-0.8719		-1.1541		-0.0000		-0.0000		44.8000		-0.0004		36.6206
4.4800		-0.0002		-0.0002		0.0000		1.2181		-0.8719		-1.1541		-0.0000		-0.0000		44.8000		-0.0004		36.6406
4.4960		-0.0004		-0.0002		0.0000		1.2193		-0.8719		-1.1541		-0.0000		-0.0000		44.9600		-0.0008		36.6606
4.4960		-0.0004		-0.0002		0.0000		1.2193		-0.8719		-1.1642		-0.0000		-0.0000		44.9600		-0.0008		36.6806
4.5120		-0.0008		-0.0002		0.0000		1.2205		-0.8719		-1.1642		-0.0000		-0.0000		45.1200		-0.0016		36.7006
4.5120		-0.0008		-0.0002		0.0000		1.2205		-0.8719		-1.1642		-0.0000		-0.0000		45.1200		-0.0016		36.7206
4.5260		-0.0009		-0.0002		0.0000		1.2217		-0.8719		-1.1642		-0.0000		-0.0000		45.2600		-0.0018		36.7407
4.5260		-0.0009		-0.0002		0.0000		1.2217		-0.8719		-1.1642		-0.0000		-0.0000		45.2600		-0.0018		36.7607
4.5400		-0.0009		-0.0004		0.0000		1.2229		-0.8719		-1.1642		-0.0000		-0.0000		45.4000		-0.0018		36.7807
4.5400		-0.0009		-0.0004		0.0000		1.2241		-0.8719		-1.1642		-0.0000		-0.0000		45.4000		-0.0018		36.8007
4.5550		-0.0009		-0.0004		0.0000		1.2241		-0.8719		-1.1642		-0.0000		-0.0000		45.5500		-0.0018		36.8207
4.5550		-0.0009		-0.0004		0.0000		1.2253		-0.8719		-1.1642		-0.0000		-0.0000		45.5500		-0.0018		36.8407
4.5690		-0.0011		-0.0004		0.0000		1.2253		-0.8719		-1.1642		-0.0000		-0.0000		45.6900		-0.0022		36.8607
4.5690		-0.0011		-0.0004		0.0000		1.2265		-0.8719		-1.1642		-0.0000		-0.0000		45.6900		-0.0022		36.8807
4.5830		-0.0013		-0.0004		0.0000		1.2265		-0.8719		-1.1642		-0.0000		-0.0000		45.8300		-0.0026		36.9007
4.5830		-0.0013		-0.0004		0.0000		1.2278		-0.8719		-1.1642		-0.0000		-0.0000		45.8300		-0.0026		36.9207
4.5970		-0.0013		-0.0004		0.0000		1.2290		-0.8719		-1.1742		-0.0000		-0.0000		45.9700		-0.0026		36.9407
4.5970		-0.0013		-0.0004		0.0000		1.2290		-0.8719		-1.1742		-0.0000		-0.0000		45.9700		-0.0026		36.9607
4.6110		-0.0011		-0.0004		0.0000		1.2302		-0.8719		-1.1742		-0.0000		-0.0000		46.1100		-0.0022		36.9807
4.6110		-0.0011		-0.0004		0.0000		1.2302		-0.8719		-1.1742		-0.0000		-0.0000		46.1100		-0.0022		37.0007
4.6240		-0.0009		-0.0004		0.0000		1.2314		-0.8819		-1.1742		-0.0000		-0.0000		46.2400		-0.0018		37.0207
4.6240		-0.0009		-0.0004		0.0000		1.2314		-0.8819		-1.1742		-0.0000		-0.0000		46.2400		-0.0018		37.0407
4.6370		-0.0011		-0.0004		0.0000		1.2326		-0.8819		-1.1742		-0.0000		-0.0000		46.3700		-0.0022		37.0607
4.6370		-0.0011		-0.0004		0.0000		1.2326		-0.8819		-1.1742		-0.0000		-0.0000		46.3700		-0.0022		37.0807
4.6490		-0.0011		-0.0004		0.0000		1.2338		-0.8819		-1.1742		-0.0000		-0.0000		46.4900		-0.0022		37.1007
4.6490		-0.0011		-0.0004		0.0000		1.2338		-0.8819		-1.1742		-0.0000		-0.0000		46.4900		-0.0022		37.1207
4.6610		-0.0013		-0.0004		0.0000		1.2350		-0.8819		-1.1742		-0.0000		-0.0000		46.6100		-0.0026		37.1407
4.6610		-0.0013		-0.0004		0.0000		1.2350		-0.8819		-1.1742		-0.0000		-0.0000		46.6100		-0.0026		37.1607
4.6730		-0.0015		-0.0004		0.0000		1.2362		-0.8819		-1.1742		-0.0000		-0.0000		46.7300		-0.0030		37.1807
4.6730		-0.0015		-0.0004		0.0000		1.2375		-0.8819		-1.1742		-0.0000		-0.0000		46.7300		-0.0030		37.2007
4.6840		-0.0016		-0.0008		0.0000		1.2375		-0.8819		-1.1842		-0.0000		-0.0000		46.8400		-0.0032		37.2207
4.6840		-0.0016		-0.0008		0.0000		1.2387		-0.8819		-1.1842		-0.0000		-0.0000		46.8400		-0.0032		37.2407
4.6950		-0.0016		-0.0004		0.0000		1.2387		-0.8819		-1.1842		-0.0000		-0.0000		46.9500		-0.0032		37.2607
4.6950		-0.0016		-0.0004		0.0000		1.2399		-0.8819		-1.1842		-0.0000		-0.0000		46.9500		-0.0032		37.2807
4.7070		-0.0013		-0.0004		0.0000		1.2399		-0.8819		-1.1842		-0.0000		-0.0000		47.0700		-0.0026		37.3007
4.7070		-0.0013		-0.0004		0.0000		1.2411		-0.8819		-1.1842		-0.0000		-0.0000		47.0700		-0.0026		37.3207
4.7180		-0.0011		-0.0004		0.0000		1.2423		-0.8819		-1.1842		-0.0000		-0.0000		47.1800		-0.0022		37.3407
4.7180		-0.0011		-0.0004		0.0000		1.2423		-0.8819		-1.1842		-0.0000		-0.0000		47.1800		-0.0022		37.3607
4.7290		-0.0009		-0.0004		0.0000		1.2435		-0.8920		-1.1842		-0.0000		-0.0000		47.2900		-0.0018		37.3807
4.7290		-0.0009		-0.0004		0.0000		1.2435		-0.8920		-1.1842		-0.0000		-0.0000		47.2900		-0.0018		37.4007
4.7400		-0.0006		-0.0004		0.0000		1.2447		-0.8920		-1.1842		-0.0000		-0.0000		47.4000		-0.0012		37.4207
4.7400		-0.0006		-0.0004		0.0000		1.2447		-0.8920		-1.1842		-0.0000		-0.0000		47.4000		-0.0012		37.4407
4.7500		-0.0004		-0.0004		0.0000		1.2459		-0.8920		-1.1842		-0.0000		-0.0000		47.5000		-0.0008		37.4607
4.7500		-0.0004		-0.0004		0.0000		1.2459		-0.8920		-1.1842		-0.0000		-0.0000		47.5000		-0.0008		37.4807
4.7600		-0.0002		-0.0004		0.0000		1.2471		-0.8920		-1.1943		-0.0000		-0.0000		47.6000		-0.0004		37.5007
4.7600		-0.0002		-0.0004		0.0000		1.2471		-0.8920		-1.1943		-0.0000		-0.0000		47.6000		-0.0004		37.5207
4.7710		-0.0002		-0.0004		0.0000		1.2484		-0.8920		-1.1943		-0.0000		-0.0000		47.7100		-0.0004		37.5407
4.7710		-0.0002		-0.0004		0.0000		1.2484		-0.8920		-1.1943		-0.0000		-0.0000		47.7100		-0.0004		37.5607
4.7800		-0.0001		-0.0004		0.0000		1.2496		-0.8920		-1.1943		-0.0000		-0.0000		47.8000		-0.0002		37.5807
4.7800		-0.0001		-0.0004		0.0000		1.2508		-0.8920		-1.1943		-0.0000		-0.0000		47.8000		-0.0002		37.6007
4.7900		-0.0001		-0.0004		0.0000		1.2508		-0.8920		-1.1943		-0.0000		-0.0000		47.9000		-0.0002		37.6207
4.7900		-0.0001		-0.0004		0.0000		1.2520		-0.8920		-1.1943		-0.0000		-0.0000		47.9000		-0.0002		37.6407
4.8000		0.0000		-0.0004		0.0002		1.2520		-0.8920		-1.1943		-0.0000		-0.0000		48.0000		0.0000		37.6607
4.8000		0.0000		-0.0004		0.0002		1.2532		-0.8920		-1.1943		-0.0000		-0.0000		48.0000		0.0000		37.6807
4.8100		0.0000		-0.0004		0.0002		1.2532		-0.8920		-1.1943		-0.0000		-0.0000		48.1000		0.0000		37.7007
4.8100		0.0000		-0.0004		0.0002		1.2544		-0.8920		-1.1943		-0.0000		-0.0000		48.1000		0.0000		37.7207
4.8190		0.0000		-0.0004		0.0002		1.2556		-0.9020		-1.1943		-0.0000		-0.0000		48.1900		0.0000		37.7407
4.8190		0.0000		-0.0004		0.0002		1.2556		-0.9020		-1.1943		-0.0000		-0.0000		48.1900		0.0000		37.7607
4.8280		0.0000		-0.0004		0.0002		1.2568		-0.9020		-1.1943		-0.0000		-0.0000		48.2800		0.0000		37.7807
4.8280		0.0000		-0.0004		0.0002		1.2568		-0.9020		-1.2043		-0.0000		-0.0000		48.2800		0.0000		37.8007
4.8380		0.0001		-0.0004		0.0002		1.2581		-0.9020		-1.2043		-0.0000		-0.0000		48.3800		0.0002		37.8207
4.8380		0.0001		-0.0004		0.0002		1.2581		-0.9020		-1.2043		-0.0000		-0.0000		48.3800		0.0002		37.8407
4.8470		0.0001		-0.0008		0.0002		1.2593		-0.9020		-1.2043		-0.0000		-0.0000		48.4700		0.0002		37.8607
4.8470		0.0001		-0.0008		0.0002		1.2593		-0.9020		-1.2043		-0.0000		-0.0000		48.4700		0.0002		37.8807
4.8560		0.0000		-0.0008		0.0002		1.2605		-0.9020		-1.2043		-0.0000		-0.0000		48.5600		0.0000		37.9007
4.8560		0.0000		-0.0008		0.0002		1.2605		-0.9020		-1.2043		-0.0000		-0.0000		48.5600		0.0000		37.9207
4.8650		-0.0002		-0.0008		0.0002		1.2617		-0.9020		-1.2043		-0.0000		-0.0000		48.6500		-0.0004		37.9407
4.8650		-0.0002		-0.0008		0.0002		1.2617		-0.9020		-1.2043		-0.0000		-0.0000		48.6500		-0.0004		37.9607
4.8740		-0.0004		-0.0008		0.0002		1.2629		-0.9020		-1.2043		-0.0000		-0.0000		48.7400		-0.0008		37.9807
4.8740		-0.0004		-0.0008		0.0002		1.2629		-0.9020		-1.2043		-0.0000		-0.0000		48.7400		-0.0008		38.0007
4.8820		-0.0006		-0.0010		0.0002		1.2641		-0.9020		-1.2043		-0.0000		-0.0000		48.8200		-0.0012		38.0207
4.8820		-0.0006		-0.0010		0.0002		1.2653		-0.9020		-1.2043		-0.0000		-0.0000		48.8200		-0.0012		38.0407
4.8870		-0.0009		-0.0010		0.0002		1.2653		-0.9020		-1.2144		-0.0000		-0.0000		48.8700		-0.0018		38.0607
4.8870		-0.0009		-0.0010		0.0002		1.2665		-0.9020		-1.2144		-0.0000		-0.0000		48.8700		-0.0018		38.0807
4.8870		-0.0011		-0.0010		0.0000		1.2665		-0.9120		-1.2144		-0.0000		-0.0000		48.8700		-0.0022		38.1007
4.8870		-0.0011		-0.0010		0.0000		1.2678		-0.9120		-1.2144		-0.0000		-0.0000		48.8700		-0.0022		38.1207
4.8750		-0.0011		-0.0010		0.0000		1.2678		-0.9120		-1.2144		-0.0000		-0.0000		48.7500		-0.0022		38.1407
4.8750		-0.0011		-0.0010		0.0000		1.2690		-0.9120		-1.2144		-0.0000		-0.0000		48.7500		-0.0022		38.1607
4.8210		-0.0011		-0.0010		0.0002		1.2702		-0.9320		-1.2344		-0.0000		-0.0000		48.2100		-0.0022		38.1807
4.8210		-0.0011		-0.0010		0.0002		1.2702		-0.9320		-1.2344		-0.0000		-0.0000		48.2100		-0.0022		38.2007
4.4510		-0.0011		-0.0010		0.0002		1.2714		-0.9320		-1.2344		-0.0000		-0.0000		44.5100		-0.0022		38.2207
4.4510		-0.0011		-0.0010		0.0002		1.2714		-0.9320		-1.2344		-0.0000		-0.0000		44.5100		-0.0022		38.2407
4.1220		-0.0011		-0.0010		0.0000		1.2726		-0.9320		-1.2344		-0.0000		-0.0000		41.2200		-0.0022		38.2607
4.1220		-0.0011		-0.0010		0.0000		1.2726		-0.9421		-1.2344		-0.0000		-0.0000		41.2200		-0.0022		38.2807
4.1230		-0.0009		-0.0010		0.0000		1.2738		-0.9421		-1.2344		-0.0000		-0.0000		41.2300		-0.0018		38.3007
4.1230		-0.0009		-0.0010		0.0000		1.2738		-0.9421		-1.2344		-0.0000		-0.0000		41.2300		-0.0018		38.3207
4.1340		-0.0008		-0.0008		0.0000		1.2750		-0.9421		-1.2344		-0.0000		-0.0000		41.3400		-0.0016		38.3407
4.1340		-0.0008		-0.0008		0.0000		1.2750		-0.9421		-1.2344		-0.0000		-0.0000		41.3400		-0.0016		38.3607
4.1480		-0.0009		-0.0008		0.0000		1.2762		-0.9421		-1.2344		-0.0000		-0.0000		41.4800		-0.0018		38.3807
4.1480		-0.0009		-0.0008		0.0000		1.2762		-0.9421		-1.2344		-0.0000		-0.0000		41.4800		-0.0018		38.4007
4.1630		-0.0011		-0.0008		0.0000		1.2774		-0.9421		-1.2344		-0.0000		-0.0000		41.6300		-0.0022		38.4207
4.1630		-0.0011		-0.0008		0.0000		1.2787		-0.9421		-1.2344		-0.0000		-0.0000		41.6300		-0.0022		38.4407
4.1790		-0.0013		-0.0010		0.0000		1.2787		-0.9421		-1.2344		-0.0000		-0.0000		41.7900		-0.0026		38.4607
4.1790		-0.0013		-0.0010		0.0000		1.2799		-0.9421		-1.2344		-0.0000		-0.0000		41.7900		-0.0026		38.4807
4.1970		-0.0013		-0.0010		0.0000		1.2799		-0.9421		-1.2344		-0.0000		-0.0000		41.9700		-0.0026		38.5007
4.1970		-0.0013		-0.0010		0.0000		1.2811		-0.9421		-1.2445		-0.0000		-0.0000		41.9700		-0.0026		38.5207
4.2140		-0.0013		-0.0010		0.0000		1.2811		-0.9421		-1.2445		-0.0000		-0.0000		42.1400		-0.0026		38.5407
4.2140		-0.0013		-0.0010		0.0000		1.2823		-0.9421		-1.2445		-0.0000		-0.0000		42.1400		-0.0026		38.5607
4.2330		-0.0013		-0.0010		-0.0002		1.2835		-0.9421		-1.2445		-0.0000		-0.0000		42.3300		-0.0026		38.5807
4.2330		-0.0013		-0.0010		-0.0002		1.2835		-0.9421		-1.2445		-0.0000		-0.0000		42.3300		-0.0026		38.6007
4.2510		-0.0013		-0.0012		-0.0002		1.2847		-0.9421		-1.2445		-0.0000		-0.0000		42.5100		-0.0026		38.6207
4.2510		-0.0013		-0.0012		-0.0002		1.2847		-0.9421		-1.2445		-0.0000		-0.0000		42.5100		-0.0026		38.6407
4.2680		-0.0013		-0.0012		-0.0002		1.2859		-0.9521		-1.2445		-0.0000		-0.0000		42.6800		-0.0026		38.6607
4.2680		-0.0013		-0.0012		-0.0002		1.2859		-0.9521		-1.2445		-0.0000		-0.0000		42.6800		-0.0026		38.6807
4.2870		-0.0013		-0.0012		-0.0002		1.2871		-0.9521		-1.2445		-0.0000		-0.0000		42.8700		-0.0026		38.7007
4.2870		-0.0013		-0.0012		-0.0002		1.2871		-0.9521		-1.2445		-0.0000		-0.0000		42.8700		-0.0026		38.7207
4.3060		-0.0016		-0.0010		-0.0002		1.2884		-0.9521		-1.2445		-0.0000		-0.0000		43.0600		-0.0032		38.7407
4.3060		-0.0016		-0.0010		-0.0002		1.2884		-0.9521		-1.2445		-0.0000		-0.0000		43.0600		-0.0032		38.7607
4.3240		-0.0018		-0.0010		-0.0004		1.2896		-0.9521		-1.2445		-0.0000		-0.0000		43.2400		-0.0036		38.7807
4.3240		-0.0018		-0.0010		-0.0004		1.2896		-0.9521		-1.2445		-0.0000		-0.0000		43.2400		-0.0036		38.8007
4.3420		-0.0018		-0.0010		-0.0004		1.2908		-0.9521		-1.2545		-0.0000		-0.0000		43.4200		-0.0036		38.8207
4.3420		-0.0018		-0.0010		-0.0004		1.2920		-0.9521		-1.2545		-0.0000		-0.0000		43.4200		-0.0036		38.8407
4.3590		-0.0019		-0.0008		-0.0004		1.2920		-0.9521		-1.2545		-0.0000		-0.0000		43.5900		-0.0038		38.8607
4.3590		-0.0019		-0.0008		-0.0004		1.2932		-0.9521		-1.2545		-0.0000		-0.0000		43.5900		-0.0038		38.8807
4.3770		-0.0019		-0.0008		-0.0004		1.2932		-0.9521		-1.2545		-0.0000		-0.0000		43.7700		-0.0038		38.9007
4.3770		-0.0019		-0.0008		-0.0004		1.2944		-0.9521		-1.2545		-0.0000		-0.0000		43.7700		-0.0038		38.9207
4.3950		-0.0019		-0.0008		-0.0004		1.2944		-0.9521		-1.2545		-0.0000		-0.0000		43.9500		-0.0038		38.9407
4.3950		-0.0019		-0.0008		-0.0004		1.2956		-0.9521		-1.2545		-0.0000		-0.0000		43.9500		-0.0038		38.9607
4.4120		-0.0019		-0.0008		-0.0004		1.2968		-0.9521		-1.2545		-0.0000		-0.0000		44.1200		-0.0038		38.9807
4.4120		-0.0019		-0.0008		-0.0004		1.2968		-0.9521		-1.2545		-0.0000		-0.0000		44.1200		-0.0038		39.0007
4.4290		-0.0019		-0.0008		-0.0004		1.2981		-0.9621		-1.2545		-0.0000		-0.0000		44.2900		-0.0038		39.0207
4.4290		-0.0019		-0.0008		-0.0004		1.2981		-0.9621		-1.2545		-0.0000		-0.0000		44.2900		-0.0038		39.0407
4.4460		-0.0022		-0.0004		-0.0004		1.2993		-0.9621		-1.2545		-0.0000		-0.0000		44.4600		-0.0044		39.0607
4.4460		-0.0022		-0.0004		-0.0004		1.2993		-0.9621		-1.2545		-0.0000		-0.0000		44.4600		-0.0044		39.0807
4.4630		-0.0025		-0.0004		-0.0004		1.3005		-0.9621		-1.2545		-0.0000		-0.0000		44.6300		-0.0050		39.1007
4.4630		-0.0025		-0.0004		-0.0004		1.3005		-0.9621		-1.2645		-0.0000		-0.0000		44.6300		-0.0050		39.1207
4.4800		-0.0026		-0.0004		-0.0004		1.3017		-0.9621		-1.2645		-0.0000		-0.0000		44.8000		-0.0052		39.1407
4.4800		-0.0026		-0.0004		-0.0004		1.3017		-0.9621		-1.2645		-0.0000		-0.0000		44.8000		-0.0052		39.1607
4.4960		-0.0027		-0.0004		-0.0004		1.3029		-0.9621		-1.2645		-0.0000		-0.0000		44.9600		-0.0054		39.1807
4.4960		-0.0027		-0.0004		-0.0004		1.3029		-0.9621		-1.2645		-0.0000		-0.0000		44.9600		-0.0054		39.2007
4.5120		-0.0030		-0.0004		-0.0004		1.3041		-0.9621		-1.2645		-0.0000		-0.0000		45.1200		-0.0060		39.2207
4.5120		-0.0030		-0.0004		-0.0004		1.3053		-0.9621		-1.2645		-0.0000		-0.0000		45.1200		-0.0060		39.2407
4.5280		-0.0030		-0.0004		-0.0004		1.3053		-0.9621		-1.2645		-0.0000		-0.0000		45.2800		-0.0060		39.2607
4.5280		-0.0030		-0.0004		-0.0004		1.3065		-0.9621		-1.2645		-0.0000		-0.0000		45.2800		-0.0060		39.2807
4.5430		-0.0029		-0.0004		-0.0004		1.3065		-0.9621		-1.2645		-0.0000		-0.0000		45.4300		-0.0058		39.3007
4.5430		-0.0029		-0.0004		-0.0004		1.3077		-0.9621		-1.2645		-0.0000		-0.0000		45.4300		-0.0058		39.3207
4.5580		-0.0026		-0.0004		-0.0004		1.3077		-0.9621		-1.2645		-0.0000		-0.0000		45.5800		-0.0052		39.3407
4.5580		-0.0026		-0.0004		-0.0004		1.3090		-0.9621		-1.2645		-0.0000		-0.0000		45.5800		-0.0052		39.3607
4.5740		-0.0020		-0.0004		-0.0004		1.3090		-0.9721		-1.2645		-0.0000		-0.0000		45.7400		-0.0040		39.3807
4.5740		-0.0020		-0.0004		-0.0004		1.3102		-0.9721		-1.2746		-0.0000		-0.0000		45.7400		-0.0040		39.4007
4.5870		-0.0016		-0.0004		-0.0004		1.3114		-0.9721		-1.2746		-0.0000		-0.0000		45.8700		-0.0032		39.4207
4.5870		-0.0016		-0.0004		-0.0004		1.3114		-0.9721		-1.2746		-0.0000		-0.0000		45.8700		-0.0032		39.4407
4.6010		-0.0016		-0.0004		-0.0004		1.3126		-0.9721		-1.2746		-0.0000		-0.0000		46.0100		-0.0032		39.4607
4.6010		-0.0016		-0.0004		-0.0004		1.3126		-0.9721		-1.2746		-0.0000		-0.0000		46.0100		-0.0032		39.4807
4.6120		-0.0018		-0.0004		-0.0004		1.3138		-0.9721		-1.2746		-0.0000		-0.0000		46.1200		-0.0036		39.5007
4.6120		-0.0018		-0.0004		-0.0004		1.3138		-0.9721		-1.2746		-0.0000		-0.0000		46.1200		-0.0036		39.5207
4.5780		-0.0018		-0.0004		-0.0004		1.3150		-0.9721		-1.2746		-0.0000		-0.0000		45.7800		-0.0036		39.5407
4.5780		-0.0018		-0.0004		-0.0004		1.3150		-0.9721		-1.2746		-0.0000		-0.0000		45.7800		-0.0036		39.5607
4.5340		-0.0018		-0.0004		-0.0004		1.3162		-0.9721		-1.2746		-0.0000		-0.0000		45.3400		-0.0036		39.5807
4.5340		-0.0018		-0.0004		-0.0004		1.3162		-0.9721		-1.2746		-0.0000		-0.0000		45.3400		-0.0036		39.6007
4.5240		-0.0018		-0.0008		-0.0004		1.3174		-0.9721		-1.2746		-0.0000		-0.0000		45.2400		-0.0036		39.6207
4.5240		-0.0018		-0.0008		-0.0004		1.3174		-0.9721		-1.2746		-0.0000		-0.0000		45.2400		-0.0036		39.6407
4.5230		-0.0016		-0.0008		-0.0004		1.3187		-0.9721		-1.2846		-0.0000		-0.0000		45.2300		-0.0032		39.6607
4.5230		-0.0016		-0.0008		-0.0004		1.3199		-0.9721		-1.2846		-0.0000		-0.0000		45.2300		-0.0032		39.6807
4.5210		-0.0013		-0.0008		-0.0004		1.3199		-0.9822		-1.2846		-0.0000		-0.0000		45.2100		-0.0026		39.7007
4.5210		-0.0013		-0.0008		-0.0004		1.3211		-0.9822		-1.2846		-0.0000		-0.0000		45.2100		-0.0026		39.7207
4.5100		-0.0013		-0.0010		-0.0002		1.3211		-0.9822		-1.2846		-0.0000		-0.0000		45.1000		-0.0026		39.7407
4.5100		-0.0013		-0.0010		-0.0002		1.3223		-0.9822		-1.2846		-0.0000		-0.0000		45.1000		-0.0026		39.7607
4.4970		-0.0011		-0.0010		-0.0002		1.3223		-0.9822		-1.2846		-0.0000		-0.0000		44.9700		-0.0022		39.7807
4.4970		-0.0011		-0.0010		-0.0002		1.3235		-0.9822		-1.2846		-0.0000		-0.0000		44.9700		-0.0022		39.8007
4.4820		-0.0011		-0.0010		-0.0002		1.3247		-0.9822		-1.2846		-0.0000		-0.0000		44.8200		-0.0022		39.8207
4.4820		-0.0011		-0.0010		-0.0002		1.3247		-0.9822		-1.2846		-0.0000		-0.0000		44.8200		-0.0022		39.8407
4.4600		-0.0009		-0.0010		0.0000		1.3259		-0.9822		-1.2946		-0.0000		-0.0000		44.6000		-0.0018		39.8607
4.4600		-0.0009		-0.0010		0.0000		1.3259		-0.9822		-1.2946		-0.0000		-0.0000		44.6000		-0.0018		39.8807
4.4480		-0.0009		-0.0008		0.0000		1.3271		-0.9822		-1.2946		-0.0000		-0.0000		44.4800		-0.0018		39.9007
4.4480		-0.0009		-0.0008		0.0000		1.3271		-0.9822		-1.2946		-0.0000		-0.0000		44.4800		-0.0018		39.9207
4.4530		-0.0009		-0.0008		0.0000		1.3284		-0.9822		-1.2946		-0.0000		-0.0000		44.5300		-0.0018		39.9407
4.4530		-0.0009		-0.0008		0.0000		1.3284		-0.9822		-1.2946		-0.0000		-0.0000		44.5300		-0.0018		39.9607
4.4610		-0.0009		-0.0008		0.0000		1.3296		-0.9822		-1.2946		-0.0000		-0.0000		44.6100		-0.0018		39.9807
4.4610		-0.0009		-0.0008		0.0000		1.3296		-0.9822		-1.2946		-0.0000		-0.0000		44.6100		-0.0018		40.0007
4.4710		-0.0011		-0.0008		0.0000		1.3308		-0.9822		-1.2946		-0.0000		-0.0000		44.7100		-0.0022		40.0207
4.4710		-0.0011		-0.0008		0.0000		1.3308		-0.9822		-1.2946		-0.0000		-0.0000		44.7100		-0.0022		40.0407
4.4830		-0.0013		-0.0008		0.0000		1.3320		-0.9822		-1.2946		-0.0000		-0.0000		44.8300		-0.0026		40.0607
4.4830		-0.0013		-0.0008		0.0000		1.3332		-0.9822		-1.2946		-0.0000		-0.0000		44.8300		-0.0026		40.0807
4.4960		-0.0015		-0.0008		0.0000		1.3332		-0.9922		-1.2946		-0.0000		-0.0000		44.9600		-0.0030		40.1007
4.4960		-0.0015		-0.0008		0.0000		1.3344		-0.9922		-1.2946		-0.0000		-0.0000		44.9600		-0.0030		40.1207
4.5080		-0.0013		-0.0008		-0.0002		1.3344		-0.9922		-1.3047		-0.0000		-0.0000		45.0800		-0.0026		40.1407
4.5080		-0.0013		-0.0008		-0.0002		1.3356		-0.9922		-1.3047		-0.0000		-0.0000		45.0800		-0.0026		40.1607
4.5210		-0.0015		-0.0008		-0.0002		1.3356		-0.9922		-1.3047		-0.0000		-0.0000		45.2100		-0.0030		40.1807
4.5210		-0.0015		-0.0008		-0.0002		1.3368		-0.9922		-1.3047		-0.0000		-0.0000		45.2100		-0.0030		40.2007
4.5330		-0.0015		-0.0004		-0.0002		1.3368		-0.9922		-1.3047		-0.0000		-0.0000		45.3300		-0.0030		40.2207
4.5330		-0.0015		-0.0004		-0.0002		1.3380		-0.9922		-1.3047		-0.0000		-0.0000		45.3300		-0.0030		40.2407
4.5440		-0.0015		-0.0004		-0.0002		1.3393		-0.9922		-1.3047		-0.0000		-0.0000		45.4400		-0.0030		40.2607
4.5440		-0.0015		-0.0004		-0.0002		1.3393		-0.9922		-1.3047		-0.0000		-0.0000		45.4400		-0.0030		40.2807
4.5520		-0.0013		-0.0004		-0.0004		1.3405		-0.9922		-1.3047		-0.0000		-0.0000		45.5200		-0.0026		40.3007
4.5520		-0.0013		-0.0004		-0.0004		1.3405		-0.9922		-1.3047		-0.0000		-0.0000		45.5200		-0.0026		40.3207
4.5240		-0.0013		-0.0004		-0.0004		1.3417		-1.0022		-1.3147		-0.0000		-0.0000		45.2400		-0.0026		40.3407
4.5240		-0.0013		-0.0004		-0.0004		1.3417		-1.0022		-1.3147		-0.0000		-0.0000		45.2400		-0.0026		40.3607
4.1740		-0.0015		-0.0004		-0.0004		1.3429		-1.0022		-1.3248		-0.0000		-0.0000		41.7400		-0.0030		40.3807
4.1740		-0.0015		-0.0004		-0.0004		1.3429		-1.0022		-1.3248		-0.0000		-0.0000		41.7400		-0.0030		40.4007
